state1,state2,distance_km
Kansas,Missouri,517.3
Kansas,Montana,1321.08
Kansas,Nebraska,358.92
Kansas,Nevada,1582.99
Kansas,New Hampshire,2313.16
Kansas,New Jersey,2046.33
Kansas,New Mexico,827.86
Kansas,New York,1986.46
Kansas,North Carolina,1717.92
Kansas,North Dakota,1009.32
Kansas,Ohio,1355.62
Kansas,Oklahoma,331.86
Kansas,Oregon,1948.53
Kansas,Pennsylvania,1781.0
Kansas,Rhode Island,2305.33
Kansas,South Carolina,1649.23
Kansas,South Dakota,678.59
Kansas,Tennessee,1106.71
Kansas,Texas,783.39
Kansas,Utah,1155.35
Kansas,Vermont,2231.13
Kansas,Virginia,1715.07
Kansas,Washington,2043.79
Kansas,West Virginia,1545.28
Kansas,Wisconsin,975.24
Kansas,Wyoming,921.05
Kentucky,Alabama,545.57
Kentucky,Alaska,5224.3
Kentucky,Arizona,2398.7
Kentucky,Arkansas,705.51
Kentucky,California,3010.3
Kentucky,Colorado,1775.53
Kentucky,Connecticut,1170.36
Kentucky,Delaware,872.05
Kentucky,District of Columbia,741.3
Kentucky,Florida,1022.66
Kentucky,Georgia,568.69
Kentucky,Hawaii,7026.1
Kentucky,Idaho,2565.91
Kentucky,Illinois,438.03
Kentucky,Indiana,275.43
Kentucky,Iowa,863.35
Kentucky,Kansas,1152.42
Kentucky,Kentucky,0.0
Kentucky,Louisiana,945.06
Kentucky,Maine,1594.75
Kentucky,Maryland,763.12
Kentucky,Massachusetts,1265.74
Kentucky,Michigan,756.55
Kentucky,Minnesota,1223.71
Kentucky,Mississippi,664.41
Kentucky,Missouri,635.4
Kentucky,Montana,2254.8
Kentucky,Nebraska,1320.84
Kentucky,Nevada,2729.06
Kentucky,New Hampshire,1344.38
Kentucky,New Jersey,967.8
Kentucky,New Mexico,1904.73
Kentucky,New York,1025.47
Kentucky,North Carolina,573.16
Kentucky,North Dakota,1658.11
Kentucky,Ohio,374.98
Kentucky,Oklahoma,1111.74
Kentucky,Oregon,3037.02
Kentucky,Pennsylvania,746.4
Kentucky,Rhode Island,1265.12
Kentucky,South Carolina,565.56
Kentucky,South Dakota,1468.29
Kentucky,Tennessee,208.32
Kentucky,Texas,1450.93
Kentucky,Utah,2302.91
Kentucky,Vermont,1287.48
